Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
10,37, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 23.8 seconds, The mouse is seen sitting in front of a spout with water dripping down. 23.8 - 79.0 seconds, The mouse then uses his tongue to lick the water off the spout. 79.0 - 117.5 seconds, The mouse continues to drink the water and licks it off his paw. 117.5 - 161.4 seconds, The mouse pauses for a moment and looks around. 161.4 - 286.4 seconds, The mouse then drinks more water and licks it off his paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 10.0 seconds: A water drop is delivered to the mouse's nose. 10.0 - 286.0 seconds: The mouse uses its right paw to grab the water drop and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,29, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in a cage. 27.8 - 160.4seconds, The mouse then grabs a piece of food and begins eating it. 151.3 - 286.2seconds, The mouse continues to eat while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
13,49,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 79.8 - 171.1seconds, The mouse then grabs a water droplet and drinks it all up. 171.1 - 286.3seconds, The mouse continues to drink more water while the camera watches.",
14,2,,,,,ucn,,,
15,31,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 78.9seconds, A close up of a mouse is seen sitting in front of a camera and looking around. 78.9 - 179.1seconds, The mouse then grabs a piece of food and begins eating it. 179.1 - 286.1seconds, The mouse continues to eat while the camera watches on.",
16,17, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9 seconds, The mouse is seen sitting in a cage with its head fixed in place. 19.71 - 286.1 seconds, A small water droplet is placed on a metal spout and the mouse grabs it with his mouth and drinks it. 
7. 100%", 100%
17,40,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 78.9seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging off. 78.9 - 171.4seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 171.4 - 286.3seconds, The mouse continues to eat the water while the camera watches on.",
18,8, Yes, Yes, No,0.0,f, Failed,"1. Yes
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a camera and grabbing a water droplet. 17.8 - 109.2seconds, The mouse then drinks the water while the camera watches. 109.2 - 286.1seconds, The mouse continues to drink the water and looks back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,7, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 20.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 20.8 - 107.9seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 107.9 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,35, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 8.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 9.1 - 190.2seconds, The mouse then grabs a water droplet with his tongue and drinks it. 191.0 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,30,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 81.2 - 214.0seconds, The mouse then grabs a water droplet and drinks it all up. 216.1 - 286.1seconds, The mouse continues to drink the water while the camera watches on.",
22,21, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 113.2seconds, The mouse then grabs a piece of food and begins eating it. 113.2 - 286.4seconds, The mouse continues to eat while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,46,,,,,ucn,,,
24,42, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9 seconds, The mouse is seen sitting in front of a spout with water dripping down. 19.71 - 103.62 seconds, The mouse then uses his tongue to lick the water off the spout. 104.44 - 286.62 seconds, The mouse continues drinking until all the water is gone. 
7. 99%", 99%
25,24,,,,,ucn,,,
26,19,,,,,ucn,,,
27,11, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 111.3seconds, The mouse then grabs a piece of food and begins to eat it. 111.3 - 286.1seconds, The mouse continues eating while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,9, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in a cage. 19.2 - 113.2seconds, The mouse is shown licking a drop of water off of a spout. 117.4 - 286.3seconds, The mouse continues to lick the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
29,15, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 111.2seconds, The mouse then grabs a water droplet with his mouth and begins to drink. 112.6 - 286.5seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
30,43,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in a cage and looking off into the distance. 79.8 - 179.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 179.2 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
31,3, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.8seconds, A close up of a mouse is seen sitting in front of a camera. 29.2 - 172.5seconds, The mouse then grabs a piece of food and begins eating it. 173.9 - 286.2seconds, The mouse continues to eat while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
32,13, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage. 17.9 - 117.5seconds, The mouse is shown drinking water from a spout. 117.5 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
33,45,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 79.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 80.9 - 211.2seconds, The mouse then grabs a water droplet with his tongue and drinks it. 211.2 - 286.1seconds, The mouse continues to drink the water while the camera watches.",
34,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7: The mouse is shown waiting for a water drop to be delivered. 19.3 - 286.7: The mouse grabs the drop with its paw and drinks it.
7. I am 100% confident in my results.", I am 100% confident in my results.
35,14, Yes, No, No,0.0,f, Failed,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.2 - 110.2seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 111.6 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. 99% confident", 99% confident
36,12, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 18.9 - 111.3seconds, The mouse then grabs a piece of food and begins to eat it. 111.3 - 286.2seconds, The mouse continues to eat while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
37,23, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9 seconds, The mouse is sitting in a chair. 19.4 - 286.5 seconds, The mouse is licking a water drop. 
7. I am 100% confident in my results.", I am 100% confident in my results.
38,10, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in a cage. 19.2 - 113.2seconds, The mouse then grabs a water droplet with his tongue and drinks it. 115.6 - 286.4seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
39,0, Yes, No, No,0.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. No
4. 0%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage. 19.5 - 111.4seconds, The mouse then grabs a water droplet with his tongue and drinks it. 112.0 - 286.3seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
40,5, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 7.9 - 171.9seconds, The mouse then uses his tongue to lick the water off and drink it. 172.8 - 286.1seconds, The mouse continues drinking the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
41,44, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 78.9seconds, A mouse is seen sitting in front of a camera and begins licking a water droplet. 78.9 - 178.2seconds, The mouse continues to lick the droplet while moving his tongue around. 178.2 - 286.3seconds, The mouse then puts the droplet in his mouth and drinks it all up. 
7. I am 100% confident in my results.", I am 100% confident in my results.
