,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
19,19,19,19,17, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in a cage with a droplet hanging from a string. 27.2 - 117.3seconds, The mouse then grabs the drop with his mouth and begins to drink. 117.3 - 286.2seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,20,20,20,40, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 103.1seconds, The mouse then uses his tongue to grab the water and drink it. 103.1 - 286.1seconds, The mouse continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,21,21,21,8,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.2seconds, The mouse then grabs the drop with his mouth and begins to drink. 101.2 - 286.2seconds, He continues drinking until the drop is gone.",
22,22,22,22,7, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.3seconds, The mouse then grabs the drop and puts it in his mouth. 101.3 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,23,23,23,35, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 17.8 - 109.1seconds, The mouse then grabs the drop with his tongue and begins to eat. 109.1 - 286.3seconds, He continues to eat the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
24,24,24,24,69, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 103.1seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.1 - 173.3seconds, The mouse continues to drink the water while moving his paws around. 173.3 - 286.4seconds, He finishes drinking and looks back at the camera. 
7. 99%", 99%
25,25,25,25,65, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 110.1seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 110.1 - 286.1seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
26,26,26,26,30, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.2seconds, The mouse then uses his tongue to grab the water and drink it. 101.2 - 286.3seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,27,27,27,46, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 107.3seconds, The mouse then attempts to grab the water but fails several times. 107.3 - 286.2seconds, The mouse continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,28,28,28,42, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 109.2seconds, The mouse then uses his tongue to lick the water off the spout. 109.2 - 286.3seconds, He continues licking until he has the entire drop in his mouth and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
29,29,29,29,24, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.1seconds, The mouse then grabs the drop with his mouth and pulls it onto his tongue. 101.1 - 179.2seconds, He then drinks the water while the camera watches. 179.2 - 286.2seconds, The mouse continues to drink the water until it is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
30,30,30,30,19, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 111.2seconds, The mouse then uses his tongue to grab the water and drink it. 111.2 - 286.3seconds, The mouse continues drinking the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
31,31,31,31,11, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is sitting in a cage. 1.7 - 286.9seconds, A drop of water is hanging from a metal spout. 28.5 - 286.9seconds, The mouse uses its paw to grab the drop and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
32,32,32,32,9, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off it. 19.4 - 110.3seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 111.0 - 286.6seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
33,33,33,33,15, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.8 - 109.2seconds, The mouse then uses his tongue to grab the water and drink it. 109.2 - 286.3seconds, The mouse continues to do this over and over again while the camera captures him. 
7. I am 100% confident in my results.", I am 100% confident in my results.
34,34,34,34,43, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 101.1seconds, The mouse then uses his tongue to grab the water and drink it. 101.1 - 286.1seconds, The mouse continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
35,35,35,35,34,,,,,f,,"1. No
2. Yes
3. No
4. 0%
5. Failed
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the edge. 18.7 - 109.2seconds, The mouse then attempts to grab the water but fails several times. 109.2 - 286.2seconds, The mouse continues to try and grab the water but never succeeds.",
36,36,36,36,3, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off it. 18.9 - 107.2seconds, The mouse then grabs the drop with his mouth and begins to drink. 107.2 - 286.2seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
37,37,37,37,13, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 27.6 - 162.4seconds, The mouse then uses his tongue to grab the water and drink it. 158.2 - 286.2seconds, The mouse continues drinking the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
38,38,38,38,47, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 110.3seconds, The mouse then uses his tongue to grab the water and drink it. 111.0 - 286.3seconds, The mouse continues drinking the water while the camera captures him from afar. 
7. I am 100% confident in my results.", I am 100% confident in my results.
39,39,39,39,45, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 110.6seconds, The mouse then grabs the drop with his mouth and drinks it. 110.6 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
40,40,40,40,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 119.2seconds, The mouse then uses his tongue to try and grab the water but fails. 119.2 - 286.2seconds, He continues to try and grab the water but never succeeds. 
7. I am 100% confident in my results.", I am 100% confident in my results.
41,41,41,41,48, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.5 - 111.2seconds, The mouse then grabs the drop with his tongue and drinks it. 111.2 - 286.6seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
42,42,42,42,14, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 28.9 - 111.2seconds, The mouse then grabs the drop with his tongue and drinks it. 111.2 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
43,43,43,43,12, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 28.9 - 103.2seconds, The mouse then grabs the drop with his tongue and begins to drink. 103.2 - 178.2seconds, He continues to drink the water while the camera watches. 178.2 - 286.2seconds, He finishes drinking and looks up at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
44,44,44,44,10, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 103.2seconds, The mouse then grabs the drop with his mouth and begins to drink. 103.9 - 286.6seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
45,45,45,45,0, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 110.3seconds, The mouse then grabs the drop with his mouth and begins to drink. 111.0 - 286.4seconds, He continues drinking until the drop is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
46,46,46,46,38,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 110.2seconds, The mouse then uses his tongue to try and grab the water but fails. 111.6 - 286.4seconds, The mouse continues to try and grab the water but ends up not getting any.",
47,47,47,47,55, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.4 - 110.2seconds, The mouse then grabs the drop and drinks it. 111.6 - 286.7seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
48,48,48,48,44, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 109.2seconds, The mouse then uses his tongue to grab the water and drink it. 109.2 - 286.3seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
