Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
10,37, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.6 - 111.2seconds, A metal stick moves closer to the mouse and drops a ball of water on a spout. 108.4 - 286.3seconds, The mouse then grabs the water with his tongue and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,78,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.2 - 110.6seconds, A droplet of water is shown hanging from a spout and the mouse grabs it with his tongue. 108.9 - 286.2seconds, The mouse continues to grab the water while the camera watches.",
12,39, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8 seconds: A water drop is delivered to the tip of a metal spout. 7.8 - 19.0 seconds: The mouse watches the drop intently. 19.0 - 20.9 seconds: The mouse lifts its paw and touches the drop with its tongue. 20.9 - 286.2 seconds: The mouse drinks the water.
7. I am 100% confident in my results.", I am 100% confident in my results.
13,99, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 111.2seconds, A metal stick moves closer to the mouse and drops a ball of water on a spout. 108.1 - 286.3seconds, The mouse then uses his tongue to grab the water and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
14,113, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 107.1seconds, The mouse then grabs the drop with his tongue and drinks it. 107.1 - 286.2seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,2, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 107.4seconds, The mouse then uses his tongue to grab the water and drink it. 107.4 - 286.4seconds, The same process is shown again in slow motion. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,31,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 117.4seconds, The mouse is then shown licking a drop of water off of a metal spout. 117.4 - 286.2seconds, The mouse continues to lick the water while the camera watches on.",
17,50, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.2 - 111.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 111.2 - 286.1seconds, The mouse then drinks the water and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
18,36, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.9 - 112.5seconds, The mouse then grabs the drop with his mouth and pulls it into his mouth. 112.5 - 286.5seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,17, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.9seconds, A close up of a mouse is seen sitting in front of a camera. 28.9 - 161.4seconds, A droplet of water is shown hanging from a spout and the mouse looks at it. 162.4 - 286.4seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,40, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 107.2seconds, A droplet of water is shown hanging from a spout and the mouse grabs it with his tongue. 110.7 - 286.2seconds, The mouse continues to grab the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,8, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.1 - 113.2seconds, The mouse then grabs a water drop and begins to drink. 116.5 - 286.4seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,6, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 29.4 - 172.2seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 173.0 - 286.3seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,7, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 112.2seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 112.2 - 286.3seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
24,35, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 103.2seconds, A droplet of water is shown hanging from a string and the mouse grabs it with his mouth. 104.6 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
25,21, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 19.5 - 110.4seconds, A metal stick moves closer to the mouse and the mouse grabs it with his mouth. 111.0 - 286.6seconds, The mouse then drinks the water off of the stick. 
7. I am 100% confident in my results.", I am 100% confident in my results.
26,46, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.8 - 111.5seconds, The mouse then grabs a water droplet and drinks it. 111.5 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,42, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 198.0seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 198.0 - 286.7seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,24,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in front of a water droplet. 79.8 - 179.2seconds, The mouse then grabs the water with his mouth and drinks it. 179.2 - 286.1seconds, The mouse continues to drink the water while the camera watches on.",
29,19,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.9 - 107.1seconds, The mouse then uses his tongue to grab the water and drink it. 107.1 - 286.2seconds, The mouse continues to do this over and over again.",
30,11,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 89.7seconds, A close up of a mouse is seen sitting in front of a camera with a droplet hanging above it. 89.7 - 179.2seconds, The mouse then grabs the droplet with his tongue and drinks it all up. 179.2 - 286.4seconds, The mouse continues to sit there waiting for another droplet to come down.",
31,9, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 111.2seconds, The mouse then grabs a water droplet with his mouth and begins to drink. 112.6 - 286.6seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
32,15, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.6 - 119.1seconds, A metal stick moves a drop of water towards the mouse and he licks it off. 119.1 - 286.3seconds, The mouse continues to lick the water off the stick while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
33,43, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 11.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 11.8 - 179.8seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 179.8 - 286.2seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
34,34, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 107.2seconds, The mouse then grabs the water with his paw and drinks it. 107.2 - 286.2seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
35,3, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 103.4seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 103.4 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
36,47, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with its tongue out. 19.4 - 102.2seconds, The mouse then grabs a water droplet and drinks it. 103.7 - 286.6seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
37,80, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 103.2seconds, The mouse then grabs the drop with his tongue and drinks it. 104.6 - 286.6seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
38,14, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in a cage. 17.8 - 110.6seconds, The mouse is then shown grabbing a water droplet with his mouth. 108.5 - 286.4seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
39,12, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 109.2seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 110.6 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
40,23,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 111.2seconds, A metal stick then drops a ball of water for the mouse to grab. 111.9 - 286.3seconds, The mouse grabs the water but doesn't drink any.",
41,10, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.2 - 111.3seconds, The mouse is then shown licking a drop of water off a metal spout. 113.7 - 286.5seconds, The mouse continues to lick the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
42,0, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 8.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 10.7 - 163.1seconds, The mouse then uses his tongue to grab the water and drink it. 166.7 - 286.2seconds, The mouse continues to do this over and over again. 
7. I am 100% confident in my results.", I am 100% confident in my results.
43,81, Yes, Yes, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. Yes
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.4 - 111.2seconds, The mouse then moves his paw up to grab the water and drinks it. 112.6 - 286.3seconds, The same process is shown again in slow motion. 
7. I am 100% confident in my results.", I am 100% confident in my results.
44,5, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a water spout and looking at the camera. 19.4 - 101.2seconds, The mouse then reaches out with his tongue to grab the water. 102.6 - 286.2seconds, The mouse drinks the water and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
45,44, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 109.2seconds, The mouse then grabs a water droplet and begins licking it. 110.6 - 286.6seconds, The mouse continues to lick the droplet while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
