,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence,avg_mse,min_mse,max_mse,avg_psnr,min_psnr,max_psnr
10,10,49, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was transferred to its mouth. The mouse then licked the water from its paw, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the drop was transferred to its mouth. The mouse then licked the water from its paw, and the entire drop was consumed.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, with its paws resting on the surface.  
   0:50 - 1:10: The water drop forms on the spout.  
   1:10 - 1:30: The mouse extends its right paw towards the water drop.  
   1:30 - 1:40: The mouse's paw makes contact with the water drop, and the drop adheres to the paw.  
   1:40 - 2:00: The mouse brings its paw to its mouth and begins to lick the water.  
   2:00 - 2:20: The mouse continues to lick the water from its paw, consuming the entire drop.  
   2:20 - 2:40: The mouse finishes drinking and returns its paws to the resting position.  
7. 95%", 95%,2.936824572417245,2.290787037037037,3.953659284284284,43.47374389612591,42.16081120607232,44.53095643978222
11,11,2, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:05: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:06 - 0:10: The mouse lifts its right paw and extends it towards the spout.
0:11 - 0:15: The mouse's right paw makes contact with the water drop on the spout.
0:16 - 0:20: The mouse brings the water drop closer to its mouth using its right paw.
0:21 - 0:25: The mouse's tongue makes physical contact with the water drop.
0:26 - 0:30: The mouse continues to lick the water drop, consuming it.
0:31 - 0:35: The mouse finishes drinking the water drop and retracts its paw.
7. 95%", 95%,3.071189637913776,2.430798923923924,3.964578328328329,43.27877464022118,42.14883358222775,44.27331325447859
12,12,31,,,,,s,,"1. No  
2. Yes  
3. No  
4. 0%  
5. Failed: The mouse retrieved little or none of the water (less than 40%). The mouse's tongue did not make physical contact with the water drop, and no water was consumed. The mouse attempted to reach the drop with its paw but did not successfully retrieve any water.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the metal rod.  
0:06 - 0:10: The water drop forms on the spout.  
0:11 - 0:15: The mouse extends its right paw towards the water drop.  
0:16 - 0:20: The mouse's paw touches the water drop, but the drop remains attached to the spout.  
0:21 - 0:25: The mouse retracts its paw and attempts to lick the spout, but the tongue does not make contact with the water drop.  
0:26 - 0:30: The mouse continues to attempt to reach the water drop with its paw, but the drop remains on the spout.  
0:31 - 0:35: The mouse's paw moves away from the spout, and the water drop remains attached.  
0:36 - 0:40: The mouse's paw returns to the spout, but the water drop is still not retrieved.  
0:41 - 0:45: The mouse's paw touches the water drop again, but the drop remains on the spout.  
0:46 - 0:50: The mouse retracts its paw and attempts to lick the spout, but the tongue does not make contact with the water drop.  
0:51 - 0:55: The mouse continues to attempt to reach the water drop with its paw, but the drop remains on the spout.  
0:56 - 1:00: The mouse's paw moves away from the spout, and the water drop remains attached.  
1:01 - 1:05: The mouse's paw returns to the spout, but the water drop is still not retrieved.  
1:06 - 1:10: The mouse's paw touches the water drop again, but the drop remains on the spout.  
1:11 - 1:15: The mouse retracts its paw and attempts to lick the spout, but the tongue does not make contact with the water drop.  
1:16 - 1:20: The mouse continues to attempt to reach the water drop with its paw, but the drop remains on the spout.  
1:21 - 1:25: The mouse's paw moves away from the spout, and the water drop remains attached.  
1:26 - 1:30: The mouse's paw returns to the spout, but the water drop is still not retrieved.  
1:31 - 1:35: The mouse's paw touches the water drop again, but the drop remains on the spout.  
1:36 - 1:40: The mouse retracts its paw and attempts to lick the spout, but the tongue does not make contact with the water drop.  
1:41 - 1:45: The mouse continues to attempt to reach the water drop with its paw, but the drop remains on the spout.  
1:46 - 1:50: The mouse's paw moves away from the spout, and the water drop remains attached.  
1:51 - 1:55: The mouse's paw returns to the spout, but the water drop is still not retrieved.  
1:56 - 2:00: The mouse's paw touches the water drop again, but the drop remains on the spout.  
2:01 - 2:05: The mouse retracts its paw and attempts to lick the spout, but the tongue does not make contact with the water drop.  
2:06 - 2:10: The mouse continues to attempt to reach the water drop with its paw, but the drop remains on the spout.  
2:11 - 2:15: The mouse's paw moves away from the spout, and the water drop remains attached.  
2:16 - 2:20: The mouse's paw returns to the spout, but the water drop is still not retrieved.  
2:21 - 2:25: The mouse's paw touches the water drop again, but the drop remains on the spout.  
2:26 - 2:30: The mouse",,3.0253660233509367,2.294714089089089,3.500242742742743,43.347128789139546,42.689821970381786,44.52351778735842
13,13,36, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:00 - 0:54: The mouse is stationary with both paws on the platform.  
0:55 - 1:00: The water drop forms and remains attached to the spout.  
1:01 - 1:05: The mouse lifts its right paw and moves it toward the water drop.  
1:06 - 1:10: The right paw makes contact with the water drop.  
1:11 - 1:15: The mouse brings the water drop closer to its mouth.  
1:16 - 1:20: The mouse's tongue makes contact with the water drop.  
1:21 - 4:45: The mouse continues to consume the water drop.  
7. 95%", 95%,3.263150920316869,2.643212587587588,4.030701326326327,43.00786882549095,42.07699742604234,43.90948267012273
14,14,17, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating that the mouse successfully consumed the entire drop.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating that the mouse successfully consumed the entire drop.
6. 0:00 - 0:18: The mouse is positioned with its paws on the surface, and the water drop is visible on the spout.
0:19 - 0:28: The mouse's right paw lifts and moves towards the spout, making contact with the water drop.
0:29 - 0:35: The mouse's tongue extends and makes physical contact with the water drop, indicating consumption.
0:36 - 4:46: The mouse continues to lick the water drop, ensuring it is fully consumed.
7. 95%", 95%,3.118181468106038,2.28324512012012,4.007478103103103,43.22204227645104,42.10209202824254,44.54527822745564
15,15,40, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, picked up the water drop, and brought it to its mouth. The tongue made clear contact with the water drop, and the mouse consumed the entire drop without spillage.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the spout, picked up the water drop, and brought it to its mouth. The tongue made clear contact with the water drop, and the mouse consumed the entire drop without spillage.  
6. 0:00 - 0:40: The mouse is stationary, with both paws resting on the platform.  
0:40 - 1:00: The mouse lifts its right paw and extends it toward the spout.  
1:00 - 1:20: The right paw makes contact with the water drop, and the drop adheres to the paw.  
1:20 - 1:40: The mouse brings the paw to its mouth, and the tongue makes contact with the water drop.  
1:40 - 4:45: The mouse continues to lick the water drop from its paw, consuming it entirely.  
7. 95%", 95%,3.0488233168513337,2.3889827327327327,3.8636173673673673,43.30638812097992,42.260862512686685,44.3486735013268
16,16,8, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the drop, consuming it entirely.  
6. 0:00 - 0:55: The mouse is stationary with both paws on the platform.  
0:56 - 1:00: The water drop forms on the spout.  
1:01 - 1:15: The mouse lifts its right paw and moves it toward the spout.  
1:16 - 1:20: The mouse's right paw touches the water drop.  
1:21 - 1:30: The mouse brings the water drop to its mouth.  
1:31 - 4:45: The mouse licks the water drop, consuming it completely.  
7. 95%", 95%,3.154615757999379,2.658756256256256,4.05816941941942,43.15928315940867,42.047501869771125,43.88401836027882
17,17,6, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating successful retrieval and consumption of the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating successful retrieval and consumption of the water.
6. 0:00 - 1:10: The mouse is positioned in front of the spout, with its paws resting on the platform.
1:11 - 1:15: The mouse extends its right paw towards the spout, making contact with the water drop.
1:16 - 1:20: The mouse brings the water drop closer to its mouth, and the tongue makes contact with the water drop.
1:21 - 4:45: The mouse continues to lick the water drop, consuming it completely.
7. 95%", 95%,3.0626863825031934,2.6652946696696698,4.033503503503503,43.28632129373006,42.07397922360322,43.87335130118071
18,18,7, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the water.
6. 0:00 - 0:10: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:10 - 0:20: The mouse extends its right paw towards the spout.
0:20 - 0:30: The mouse's right paw makes contact with the water drop on the spout.
0:30 - 0:40: The mouse retracts its paw, bringing the water drop closer to its mouth.
0:40 - 0:50: The mouse's tongue makes physical contact with the water drop.
0:50 - 1:00: The mouse continues to lick the water drop, consuming it.
1:00 - 1:10: The mouse finishes drinking the water drop.
7. 95%", 95%,3.153618888284836,2.367180930930931,4.055038163163164,43.17777103136108,42.05085415027719,44.38848907205038
19,19,35,,,,,s,,"1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:20: The mouse is positioned with its paws on the surface, and the water drop is visible on the spout.
0:21 - 0:30: The mouse's right paw lifts and moves towards the spout.
0:31 - 0:40: The mouse's right paw makes contact with the water drop on the spout.
0:41 - 0:50: The mouse's right paw holds the water drop, and the tongue begins to extend towards it.
0:51 - 1:00: The mouse's tongue makes physical contact with the water drop.
1:01 - 1:10: The mouse begins to lick the water drop, and the drop starts to diminish.
1:11 - 1:20: The mouse continues to lick the water drop, and it becomes smaller.
1:21 - 1:30: The water drop is almost completely consumed, and the mouse continues to lick the remaining droplet.
1:31 - 1:40: The water drop is fully consumed, and the mouse continues to lick the spout.
1:41 - 2:00: The mouse continues to lick the spout, ensuring all water is consumed.
2:01 - 2:10: The mouse's right paw remains near the spout, and the tongue continues to lick.
2:11 - 2:20: The mouse's right paw and tongue remain engaged in licking the spout.
2:21 - 2:30: The mouse's right paw and tongue continue to lick the spout.
2:31 - 2:40: The mouse's right paw and tongue continue to lick the spout.
2:41 - 2:50: The mouse's right paw and tongue continue to lick the spout.
2:51 - 3:00: The mouse's right paw and tongue continue to lick the spout.
3:01 - 3:10: The mouse's right paw and tongue continue to lick the spout.
3:11 - 3:20: The mouse's right paw and tongue continue to lick the spout.
3:21 - 3:30: The mouse's right paw and tongue continue to lick the spout.
3:31 - 3:40: The mouse's right paw and tongue continue to lick the spout.
3:41 - 3:50: The mouse's right paw and tongue continue to lick the spout.
3:51 - 4:00: The mouse's right paw and tongue continue to lick the spout.
4:01 - 4:10: The mouse's right paw and tongue continue to lick the spout.
4:11 - 4:20: The mouse's right paw and tongue continue to lick the spout.
4:21 - 4:30: The mouse's right paw and tongue continue to lick the spout.
4:31 - 4:40: The mouse's right paw and tongue continue to lick the spout.
4:41 - 4:50: The mouse's right paw and tongue continue to lick the spout.
4:51 - 5:00: The mouse's right paw and tongue continue to lick the spout.
5:01 - 5:10: The mouse's right paw and tongue continue to lick the spout.
5:11 - 5:20: The mouse's right paw and tongue continue to lick the spout.
5:21 - 5:30: The mouse's right paw and tongue continue to lick the spout.
5:31 - 5:40: The mouse's right paw and tongue continue to lick the spout.
5:41 - 5:50: The mouse's right paw and tongue continue to lick the spout.
5:51 - 6:00: The mouse's right paw and tongue continue to lick the spout.
6:01 - 6:10: The mouse's right paw and tongue continue to lick the spout.
6:11 - 6:20: The mouse's right paw and tongue continue to lick the",,3.0172054166235203,2.4942761511511518,4.086033533533533,43.35821819254382,42.01778434359829,44.16135826608362
20,20,21, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, and the tongue made physical contact with the water, indicating full consumption.  
6. 0:52 - 1:00: Water drop forms on the spout. 1:00 - 1:10: Mouse's right paw lifts and moves toward the water drop. 1:10 - 1:20: Mouse's right paw touches the water drop. 1:20 - 1:30: Mouse's tongue extends and makes contact with the water drop. 1:30 - 1:40: Mouse drinks the water drop. 1:40 - 2:00: Mouse continues to lick the water drop. 2:00 - 2:10: Mouse finishes drinking the water drop.  
7. 95%", 95%,2.8150894105312205,2.443522897897898,3.407565065065065,43.64784617477112,42.80636203733483,44.250639477741885
