,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
14,14,17, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.  
6. Timeline of key events:  
0:00 - 0:15: The mouse is stationary, with both paws resting on the surface.  
0:16 - 0:25: The mouse lifts its right paw and moves it toward the spout.  
0:26 - 0:35: The right paw makes contact with the water drop, and the drop adheres to the paw.  
0:36 - 0:45: The mouse brings the paw to its mouth, and the tongue makes contact with the water.  
0:46 - 1:00: The mouse consumes the water, with the paw and tongue working together to retrieve and drink the drop.  
1:01 - 1:10: The mouse continues to lick the paw, ensuring all water is consumed.  
1:11 - 1:20: The mouse returns to a resting position, with the paw no longer in contact with the spout.  
7. Confidence: 95%", Confidence: 95%
15,15,40, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water, and the entire drop was consumed. There is no evidence of spillage or incomplete retrieval.  
6. Timeline of key events:  
0:00 - 0:40: The mouse is stationary with both paws on the surface.  
0:40 - 1:00: The mouse lifts its right paw and moves it toward the spout.  
1:00 - 1:20: The right paw makes contact with the water drop on the spout.  
1:20 - 1:40: The water drop is transferred to the mouse's mouth, and the tongue makes contact with the water.  
1:40 - 4:45: The mouse consumes the entire water drop.  
7. Confidence: 95%", Confidence: 95%
16,16,8, Yes, Yes, No,100.0,s," Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully retrieved it. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse's continuous licking motion. The mouse's tongue made direct contact with the water, and no spillage occurred.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Classification: Successful  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully retrieved it. The water drop was fully consumed, as evidenced by the complete disappearance of the drop and the mouse's continuous licking motion. The mouse's tongue made direct contact with the water, and no spillage occurred.  
6. Timeline of key events:  
0:00 - 0:50: The mouse is stationary, with both paws resting on the surface.  
0:51 - 1:00: The water drop forms and remains attached to the spout.  
1:01 - 1:15: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:16 - 1:20: The mouse brings the water drop close to its mouth and begins to lick it.  
1:21 - 4:45: The mouse continues to lick the water drop, consuming it entirely.  
7. Confidence: 95%", Confidence: 95%
17,17,6, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, and the entire water drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, and the entire water drop was consumed.  
6. 0:00 - 0:50: The mouse is positioned in front of the spout, with its paws resting on the platform.  
0:50 - 1:00: The water drop forms on the spout.  
1:00 - 1:10: The mouse's right paw lifts and moves towards the water drop.  
1:10 - 1:20: The mouse's right paw touches the water drop, and the water adheres to the paw.  
1:20 - 1:30: The mouse brings its paw to its mouth and begins to lick the water.  
1:30 - 2:00: The mouse continues to lick the water from its paw, consuming the entire drop.  
7. 95%", 95%
18,18,7, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the entire drop was consumed.  
6. 0:00 - 0:50: The mouse is positioned with its head fixed, and its right paw is near the spout.  
   0:50 - 1:00: The water drop forms on the spout.  
   1:00 - 1:10: The mouse's right paw moves towards the water drop.  
   1:10 - 1:20: The mouse's right paw touches the water drop, and the drop adheres to the paw.  
   1:20 - 1:30: The mouse brings the water drop to its mouth.  
   1:30 - 1:40: The mouse's tongue makes contact with the water drop, and the water is consumed.  
   1:40 - 2:00: The mouse continues to consume the water drop.  
   2:00 - 2:10: The mouse finishes consuming the water drop.  
7. 95%", 95%
19,19,35, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.  
6. 0:00 - 0:20: The mouse is positioned in front of the spout, with its paws resting on the platform.  
0:20 - 0:30: The mouse lifts its right paw and moves it towards the spout.  
0:30 - 0:40: The mouse's right paw makes contact with the water drop on the spout.  
0:40 - 0:50: The mouse brings the water drop close to its mouth.  
0:50 - 1:00: The mouse's tongue makes physical contact with the water drop.  
1:00 - 1:10: The mouse consumes the water drop.  
1:10 - 1:20: The mouse continues to lick the water drop until it is fully consumed.  
7. 95%", 95%
20,20,21, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%).  
Justification: The mouse extended its right paw to the spout, made physical contact with the water drop, and successfully brought the drop to its mouth. The tongue made direct contact with the water, and the mouse consumed the entire drop without spillage. The water drop was fully retrieved and ingested, indicating a successful outcome.  
6. 0:00 - 0:50: The mouse remains stationary with both paws on the surface, head fixed, and no water drop visible.  
0:51 - 1:00: The water drop forms and remains attached to the spout.  
1:01 - 1:10: The mouse extends its right paw toward the spout and makes contact with the water drop.  
1:11 - 1:20: The mouse brings the water drop to its mouth and begins to lick it.  
1:21 - 1:30: The mouse continues to lick the water drop, consuming it entirely.  
1:31 - 2:00: The mouse finishes drinking, and the water drop is no longer visible.  
7. 95%", 95%
21,21,11, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was fully transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water drop was fully transferred to the mouse's mouth. The mouse's tongue made physical contact with the water drop, and the mouse consumed the entire drop.  
6. 0:00 - 0:15: The mouse is positioned in front of the spout with its paws resting on the surface.  
0:16 - 0:30: The mouse lifts its right paw and extends it towards the spout.  
0:31 - 0:45: The mouse's right paw makes contact with the water drop on the spout.  
0:46 - 1:00: The mouse brings the water drop close to its mouth.  
1:01 - 1:15: The mouse's tongue makes physical contact with the water drop.  
1:16 - 1:30: The mouse consumes the water drop.  
1:31 - 1:45: The mouse continues to lick the water drop until it is fully consumed.  
1:46 - 2:00: The mouse finishes drinking and retracts its paw.  
7. 95%", 95%
22,22,9, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, and the entire water drop was consumed.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the water was transferred to its mouth. The mouse then licked the water from its paw, and the entire water drop was consumed.  
6. 0:00 - 0:55: The mouse is positioned in front of the spout, with its paws resting on the surface.  
0:56 - 1:00: The water drop forms on the spout.  
1:01 - 1:05: The mouse extends its right paw towards the water drop.  
1:06 - 1:10: The mouse's paw makes contact with the water drop, and the water adheres to the paw.  
1:11 - 1:15: The mouse brings its paw to its mouth and begins to lick the water.  
1:16 - 4:45: The mouse continues to lick the water from its paw, consuming the entire drop.  
7. 95%", 95%
23,23,15, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.  
6. 0:00 - 0:05: The mouse is positioned with its head fixed, and the water drop is visible on the spout.  
0:06 - 0:10: The mouse's right paw begins to move towards the water drop.  
0:11 - 0:15: The mouse's right paw makes contact with the water drop, and the drop starts to adhere to the paw.  
0:16 - 0:20: The mouse's right paw lifts the water drop and brings it closer to its mouth.  
0:21 - 0:25: The mouse's tongue extends and makes physical contact with the water drop.  
0:26 - 0:30: The mouse begins to lick the water drop, and the drop is gradually consumed.  
0:31 - 0:35: The water drop is completely consumed, and the mouse continues to lick its paw.  
7. 95%", 95%
24,24,43, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.
6. 0:00 - 0:30: The mouse is positioned in front of the spout, with its paws resting on the surface. 0:30 - 0:40: The mouse lifts its right paw and extends it towards the spout. 0:40 - 0:50: The mouse's right paw makes contact with the water drop on the spout. 0:50 - 1:00: The mouse brings the water drop close to its mouth and begins to lick it. 1:00 - 1:10: The mouse continues to lick the water drop, and the drop gradually disappears. 1:10 - 1:20: The mouse finishes licking the water drop, and the spout is now empty.
7. 95%", 95%
25,25,34, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating that the mouse successfully consumed the entire drop.  
6. 0:00 - 0:30: The mouse is positioned in front of the spout, with its right paw resting on the surface.  
0:30 - 0:40: The mouse lifts its right paw and extends it towards the spout.  
0:40 - 0:50: The mouse's right paw makes contact with the water drop on the spout.  
0:50 - 1:00: The mouse brings the water drop close to its mouth.  
1:00 - 1:10: The mouse's tongue makes physical contact with the water drop, and it begins to drink.  
1:10 - 1:20: The mouse continues to drink the water drop, with its tongue in contact with the water.  
1:20 - 1:30: The mouse finishes drinking the water drop, and the tongue is no longer in contact with the water.  
7. 95%", 95%
26,26,3, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop. The mouse successfully brought the water drop close to its mouth and consumed it entirely, as evidenced by the complete disappearance of the water drop and the mouse's licking behavior.  
6. 0:00 - 0:05: The mouse is positioned in front of the spout with its right paw near the spout.  
0:05 - 0:10: The water drop forms and remains attached to the spout.  
0:10 - 0:15: The mouse's right paw moves towards the water drop.  
0:15 - 0:20: The mouse's right paw touches the water drop, and the water drop is dislodged.  
0:20 - 0:25: The mouse's tongue makes physical contact with the water drop.  
0:25 - 0:30: The mouse consumes the water drop, and the water drop disappears.  
0:30 - 0:35: The mouse continues to lick its paw and mouth, indicating successful consumption of the water.  
7. 95%", 95%
27,27,13, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.","1. Yes  
2. Yes  
3. No  
4. 100%  
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop, brought it to its mouth, and the tongue made clear contact with the water, indicating full consumption.  
6. 0:54 - 1:00: Water drop forms on the spout.  
1:00 - 1:20: Mouse's right paw lifts and moves toward the water drop.  
1:20 - 1:30: Right paw makes contact with the water drop.  
1:30 - 1:40: Water drop is transferred to the mouse's mouth.  
1:40 - 2:00: Tongue makes contact with the water drop and begins drinking.  
2:00 - 4:45: Mouse continues to drink the water drop.  
7. 95%", 95%
28,28,45, Yes, Yes, No,100.0,s," Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating successful retrieval and consumption of the water.","1. Yes
2. Yes
3. No
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%). The mouse's right paw reached the water drop on the spout, and the tongue made physical contact with the water drop, indicating successful retrieval and consumption of the water.
6. 0:00 - 0:10: The mouse is positioned in front of the spout, with its right paw resting on the surface.
0:10 - 0:20: The mouse lifts its right paw and extends it towards the spout.
0:20 - 0:30: The mouse's right paw makes contact with the water drop on the spout.
0:30 - 0:40: The mouse's tongue extends and makes physical contact with the water drop.
0:40 - 0:50: The mouse retracts its paw and brings the water drop closer to its mouth.
0:50 - 1:00: The mouse continues to lick the water drop, consuming it.
1:00 - 1:10: The mouse finishes drinking the water drop and retracts its paw.
7. 95%", 95%
